,id,carat,cut,color,clarity,depth,table,x,y,z,price
2603,2603,0.42,Ideal,F,SI1,61.9,55.0,4.83,4.82,2.98,693
7738,7738,0.3,Ideal,D,SI1,62.0,55.0,4.33,4.31,2.68,616
1579,1579,0.34,Ideal,E,SI1,62.1,56.0,4.48,4.46,2.77,798
5058,5058,1.09,Ideal,G,SI2,62.9,57.0,6.52,6.55,4.11,5051
5753,5753,0.39,Ideal,F,SI1,60.7,56.0,4.75,4.78,2.89,871
3548,3548,0.75,Premium,E,SI2,62.7,60.0,5.78,5.73,3.6,2532
409,409,2.0,Very Good,H,SI1,63.4,59.0,8.01,7.93,5.05,15874
4097,4097,0.29,Very Good,D,SI1,62.1,55.0,4.23,4.26,2.64,737
6461,6461,0.53,Ideal,E,VS2,61.6,56.0,5.19,5.21,3.2,1881
5601,5601,1.17,Premium,F,SI2,59.9,59.0,6.84,6.87,4.1,5405
5231,5231,0.32,Ideal,G,VVS1,62.2,55.0,4.39,4.37,2.72,1080
3777,3777,0.93,Ideal,G,SI2,60.3,56.0,6.29,6.26,3.79,3172
2726,2726,0.5,Ideal,G,VS1,61.9,55.0,5.11,5.14,3.17,1754
477,477,1.25,Premium,G,VS1,60.6,58.0,7.03,6.95,4.23,9355
1329,1329,0.41,Premium,E,SI1,61.5,60.0,4.72,4.69,2.9,969
4035,4035,0.92,Ideal,D,SI2,62.2,57.0,6.29,6.24,3.89,4355
9643,9643,1.01,Very Good,H,SI1,60.1,59.0,6.53,6.48,3.91,4401
1777,1777,0.7,Ideal,D,SI1,61.2,57.0,5.72,5.76,3.5,2975
6096,6096,0.34,Premium,H,SI1,60.2,60.0,4.51,4.48,2.71,689
751,751,1.01,Premium,I,SI1,61.6,56.0,6.5,6.46,3.99,4404
5792,5792,0.57,Premium,G,SI1,61.4,61.0,5.34,5.32,3.27,1232
4060,4060,0.93,Very Good,H,SI2,62.7,58.0,6.21,6.25,3.9,3435
9042,9042,0.32,Premium,E,VS1,60.4,59.0,4.39,4.42,2.66,726
6030,6030,1.03,Ideal,G,VS1,62.4,56.0,6.46,6.49,4.04,7392
5898,5898,0.36,Ideal,H,VVS1,62.8,57.0,4.56,4.53,2.85,810
9796,9796,1.31,Premium,H,SI2,63.0,57.0,6.96,7.0,4.4,6140
9161,9161,1.5,Very Good,G,VS2,62.8,56.0,7.26,7.32,4.57,12821
9997,9997,2.05,Premium,D,SI2,58.8,59.0,8.32,8.26,4.93,10036
5151,5151,0.51,Ideal,G,VVS2,61.5,57.0,5.1,5.15,3.15,1808
468,468,1.06,Ideal,G,SI1,61.9,56.0,6.57,6.54,4.06,5292
